Time,Source,Destination,Protocol,Status
14:32:24,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:24,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:24,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:42,10.78.150.79,10.78.150.254,17,✅ Normal
14:32:42,10.78.150.79,10.78.150.254,17,✅ Normal
14:32:42,10.78.150.254,10.78.150.79,17,✅ Normal
14:32:42,10.78.150.254,10.78.150.79,17,✅ Normal
14:32:42,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:42,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:42,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:42,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:42,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:42,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,10.78.150.79,52.168.117.168,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:43,52.168.117.168,10.78.150.79,6,✅ Normal
14:32:48,10.78.150.79,10.78.150.254,17,✅ Normal
14:32:48,10.78.150.79,10.78.150.254,17,✅ Normal
14:32:48,10.78.150.79,10.78.150.254,17,✅ Normal
14:32:48,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:48,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:48,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:48,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:48,10.78.150.254,10.78.150.79,17,✅ Normal
14:32:48,10.78.150.254,10.78.150.79,17,✅ Normal
14:32:48,10.78.150.254,10.78.150.79,17,✅ Normal
14:32:48,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:48,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:48,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:48,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:48,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:49,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:49,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:49,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:05,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:05,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:06,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:06,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:06,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:06,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:06,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:06,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:06,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:06,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:06,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:06,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:07,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:07,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:07,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:07,10.78.150.254,10.78.150.79,17,✅ Normal
14:33:07,10.78.150.254,10.78.150.79,17,✅ Normal
14:33:08,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:13,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:13,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:13,10.78.150.254,10.78.150.79,17,✅ Normal
14:33:18,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:18,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:18,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:18,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:36,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:36,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:36,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
14:33:37,57.155.141.119,10.78.150.79,6,✅ Normal
14:33:37,10.78.150.79,57.155.141.119,6,✅ Normal
